#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
9000,19578.306663345167,69508.49787611119,89086.80453945635,297.70314032520395
9100,19781.705100845167,68908.74083876051,88690.44593960568,295.13439608662645
9200,19080.822288345167,69923.34071146557,89004.16299981074,299.4799017083449
9300,19168.603538345167,69616.11430825456,88784.71784659973,298.1640587852285
9400,19142.267600845167,69603.77418033854,88746.04178118371,298.111206329128
9500,19429.728538345167,69327.28069886356,88757.00923720872,296.92699173336354
9600,19358.072288345167,69278.54993268335,88636.62222102852,296.71827909295865
9700,19750.353538345167,68854.43813717295,88604.79167551812,294.9018189876425
9800,19268.619163345167,69453.31623141002,88721.93539475519,297.4667987350702
9900,18680.431663345167,69929.9502180724,88610.38188141756,299.50821005815794
10000,19103.283225845167,69680.70436613215,88783.98759197732,298.44069637130065
10100,19258.837913345167,69816.05344771559,89074.89136106076,299.02039306823315
10200,19564.291038345167,69365.77319547572,88930.06423382089,297.0918541238704
10300,19493.447288345167,69571.39973400091,89064.84702234608,297.9725473933791
10400,19133.400413345167,69714.41776958015,88847.81818292532,298.58509002652545
10500,19175.845725845167,69454.84978664946,88630.69551249463,297.47336691341667
10600,19239.322288345167,69695.51614655065,88934.83843489582,298.504134852625
10700,18937.791038345167,70074.51767509244,89012.30871343761,300.12738882419035
10800,19449.494163345167,69659.59314872976,89109.08731207493,298.3502775605247
10900,19010.634788345167,69620.0098131916,88630.64460153677,298.180743134457
11000,19390.759788345167,69605.0318454837,88995.79163382886,298.1165928771707
11100,20150.666038345167,68806.12567879411,88956.79171713928,294.69489794898266
11200,19556.830100845167,69384.22160765436,88941.05170849952,297.17086820714667
11300,19407.150413345167,69920.17908905423,89327.3295023994,299.4663605594331
11400,19804.884788345167,69704.30133590079,89509.18612424596,298.5417615966606
11500,19309.087913345167,70149.51028217422,89458.59819551939,300.44858026569165
11600,19785.259788345167,69676.43104596296,89461.69083430813,298.4223938489781
11700,19731.634788345167,70176.02025245712,89907.65504080229,300.5621217986596
11800,20326.978538345167,69722.17551659624,90049.1540549414,298.61831626100195
11900,19532.720725845167,70815.98860226152,90348.70932810669,303.3030900725688
12000,20367.744163345167,69986.44331494963,90354.1874782948,299.750168564829
12100,19795.197288345167,70591.43202858418,90386.62931692935,302.341319940756
12200,20875.181663345167,69801.30014935881,90676.48181270398,298.95720506410163
12300,20379.322288345167,70404.61420799093,90783.9364963361,301.54118393496225
12400,20566.892600845167,70019.01116520492,90585.90376605009,299.8896558446709
12500,19703.689475845167,71149.9029685501,90853.59244439527,304.73323686729583
12600,19816.048850845167,71040.93309374235,90856.98194458752,304.2665216465334
12700,20006.806663345167,70806.40373253729,90813.21039588246,303.2620383176942
12800,20188.220725845167,70328.34739203192,90516.56811787709,301.21453508903164
12900,20193.533225845167,70270.1846698171,90463.71789566227,300.9654256192215
13000,19957.087913345167,70385.88598492416,90342.97389826932,301.4609714287212
13100,19893.369163345167,70836.26174219325,90729.63090553842,303.38991941871126
13200,20657.486350845167,70309.24430271727,90966.73065356244,301.13271704012163
13300,20006.119163345167,71302.75683964789,91308.87600299306,305.3879061354734
13400,21098.876975845167,70171.95410727692,91270.83108312209,300.54470660158074
13500,20642.431663345167,70973.21176450257,91615.64342784774,303.97647290432616
13600,20721.986350845167,70679.25814001542,91401.24449086058,302.7174769571576
13700,21023.994163345167,70312.81566487625,91336.80982822142,301.1480130940209
13800,21030.720725845167,70214.07009140868,91244.79081725384,300.7250882975894
13900,20351.025413345167,71020.98155905749,91372.00697240265,304.18106972753816
14000,20474.806663345167,70948.85804916592,91423.66471251109,303.872166556817
14100,20303.306663345167,71383.65928655793,91686.9659499031,305.73440927165166
14200,21021.720725845167,70819.3944874932,91841.11521333837,303.317677392969
14300,21116.423850845167,70676.75953724748,91793.18338809264,302.70677550462773
14400,21066.244163345167,70669.31471715798,91735.55888050314,302.674889528272
14500,21353.900413345167,70465.06373027439,91818.96414361955,301.8000877116921
14600,20859.259788345167,70938.81011246308,91798.06990080824,303.82913149777204
14700,21368.947288345167,70523.15291731269,91892.10020565786,302.04888223219893
14800,21025.884788345167,70763.71247706027,91789.59726540543,303.0791927490475
14900,20847.072288345167,70876.45312108053,91723.5254094257,303.5620580790815
15000,21069.025413345167,70396.37067513983,91465.396088485,301.5058770920274
15100,21320.306663345167,70443.69638512377,91764.00304846893,301.7085719122413
15200,20876.291038345167,70752.00470437924,91628.29574272441,303.0290486544424
15300,21025.017600845167,70547.61437188461,91572.63197272978,302.15365002413085
15400,20788.478538345167,70391.34715954494,91179.8256978901,301.4843615016497
15500,20835.111350845167,70345.39622850437,91180.50757934953,301.2875548249175
15600,20766.470725845167,70165.11916891311,90931.58989475828,300.51543273324796
15700,20246.986350845167,70491.45180249866,90738.43815334383,301.9131071583545
15800,20532.830100845167,70331.04771433678,90863.87781518194,301.2261005012417
15900,20256.259788345167,71018.41193323514,91274.67172158031,304.17006408506063
16000,20861.947288345167,70298.99722924258,91160.94451758775,301.08882908331395
16100,20161.759788345167,70977.20449044654,91138.96427879171,303.9935736486711
16200,20163.642600845167,70645.65468010446,90809.29728094963,302.57355418732425
16300,20593.001975845167,70226.8199228649,90819.82189871007,300.77969550360183
16400,20308.501975845167,70494.69003551424,90803.19201135941,301.92697642854876
16500,20362.876975845167,70660.10335487383,91022.980330719,302.635437496327
16600,20794.916038345167,70310.89466011385,91105.81069845901,301.13978547915616
16700,20424.791038345167,70804.70273194881,91229.49377029398,303.25475297514816
16800,20784.572288345167,70226.77716386179,91011.34945220695,300.77951236787175
16900,20612.470725845167,70248.74628320243,90861.2170090476,300.87360555097507
17000,20276.267600845167,70611.61109073868,90887.87869158384,302.42774635415543
17100,20730.205100845167,70063.4877024279,90793.69280327306,300.0801477299318
17200,19988.533225845167,71084.1899309298,91072.72315677497,304.45178958735687
17300,20406.728538345167,70597.50400915695,91004.23254750212,302.36732608014535
17400,20400.330100845167,70554.91139101662,90955.24149186179,302.1849029727197
17500,20881.400413345167,70153.95502759982,91035.35544094499,300.4676169980565
17600,21050.525413345167,70372.15553202108,91422.68094536624,301.40216424582655
17700,20303.572288345167,70923.45361323189,91227.02590157706,303.7633599995349
17800,20682.462913345167,70667.28916655667,91349.75207990184,302.66621414622057
17900,20783.267600845167,70370.73407614394,91154.00167698911,301.39607618621676
18000,19931.548850845167,70825.96198781976,90757.51083866492,303.34580583094487
18100,20308.056663345167,69898.89407670381,90206.95074004898,299.3751973892856
18200,20604.634788345167,69865.11378969136,90469.74857803652,299.2305172734439
18300,20660.470725845167,69900.11335015995,90560.58407600512,299.3804195066942
18400,20209.705100845167,70449.26353934593,90658.9686401911,301.732415893125
18500,20523.384788345167,70207.05666912766,90730.44145747283,300.69504998714854
18600,20217.400413345167,70086.59378507175,90303.99419841691,300.1791104981382
18700,20277.947288345167,70186.91709126928,90464.86437961445,300.60879268399185
18800,20266.244163345167,69792.60557202506,90058.84973537023,298.91996640904296
18900,20488.353538345167,69573.4647372337,90061.81827557887,297.98139175005446
19000,19067.369163345167,70645.920803454,89713.28996679917,302.57469398690694
19100,20134.705100845167,69634.59097790858,89769.29607875374,298.243193894558
19200,19850.822288345167,69915.27840933576,89766.10069768093,299.44537107201074
19300,19664.783225845167,70120.47454599058,89785.25777183575,300.32422094118243
19400,19473.806663345167,70062.16050504846,89535.96716839363,300.07446337708626
19500,19507.455100845167,69994.89227157063,89502.3473724158,299.7863552325804
19600,19759.736350845167,69648.19914692244,89407.93549776761,298.30147733864453
19700,19334.181663345167,69820.10227524652,89154.28393859169,299.0377340942576
19800,19562.236350845167,69521.5469877941,89083.78333863927,297.7590293408662
19900,19458.572288345167,69626.1989171562,89084.77120550137,298.20725091037446
20000,19409.650413345167,69586.08281986363,88995.7332332088,298.0354346791724
20100,19923.548850845167,69107.39217541134,89030.9410262565,295.9852147427303
20200,20293.970725845167,68784.54935663217,89078.52008247733,294.60248710627206
20300,18932.650413345167,69892.13284000196,88824.78325334712,299.3462391833089
20400,19063.228538345167,69789.97558258194,88853.20412092711,298.9087022307027
20500,19706.228538345167,69136.49438251508,88842.72292086025,296.10985876051103
20600,19876.353538345167,68940.57992193988,88816.93346028504,295.27076207549396
20700,19392.345725845167,69462.13276170287,88854.47848754804,297.50455971157174
20800,19672.509788345167,69386.82601158507,89059.33579993024,297.1820228033837
20900,19500.314475845167,69758.1336395315,89258.44811537667,298.7723239930796
21000,19913.181663345167,69544.23566535843,89457.4173287036,297.8562043736625
21100,20113.291038345167,69096.82068353519,89210.11172188036,295.93993731010534
21200,19822.384788345167,69730.69479911658,89553.07958746175,298.6548041328035
21300,19595.158225845167,69812.54312342312,89407.70134926829,299.0053584379741
21400,19443.556663345167,70128.6573932711,89572.21405661627,300.35926786935164
21500,19665.650413345167,69809.03722777124,89474.68764111641,298.9903427754708
21600,19368.712913345167,70282.46360784466,89651.17652118983,301.0180160005757
21700,19696.986350845167,69982.6031435657,89679.58949441087,299.73372120781056
21800,20130.291038345167,69585.80773735582,89716.09877570099,298.0342565077412
21900,19840.509788345167,69925.68395610224,89766.1937444474,299.48993776592357
22000,19842.330100845167,69908.09759283252,89750.42769367769,299.4146158163452
22100,19469.853538345167,70381.37391458894,89851.22745293411,301.44164634546945
22200,20051.080100845167,69394.64529716154,89445.7253980067,297.21551260595953
22300,19114.501975845167,70307.1529029049,89421.65487875007,301.12375962756283
22400,19604.650413345167,69945.12800244475,89549.77841578992,299.5732161251698
22500,19633.400413345167,70039.79075067397,89673.19116401914,299.9786542842548
22600,19585.697288345167,70063.95249709417,89649.64978543934,300.0821384337448
22700,20028.962913345167,69870.73647375824,89899.6993871034,299.25459908724963
22800,20130.103538345167,69922.24876553565,90052.35230388082,299.47522493151433
22900,19591.900413345167,70290.22885589383,89882.129269239,301.05127436178736
23000,19763.025413345167,69969.65480507165,89732.68021841682,299.6782638011702
23100,19472.470725845167,70293.48758928431,89765.95831512948,301.06523143456945
23200,19694.431663345167,69734.5390844366,89428.97074778177,298.67126910970626
23300,20518.970725845167,69308.63142600842,89827.60215185359,296.84711736888437
23400,20290.775413345167,69835.76146969199,90126.53688303716,299.1048020284502
23500,20640.197288345167,69738.3873394404,90378.58462778557,298.68775108866436
23600,19797.001975845167,70308.0500319819,90105.05200782706,301.12760200873436
23700,19741.744163345167,70757.23595463933,90498.9801179845,303.0514539671429
23800,19714.587913345167,70610.78942099039,90325.37733433556,302.42422716338234
23900,20157.259788345167,70311.44930127729,90468.70908962245,301.14216099324665
24000,19560.134788345167,70597.86134437658,90157.99613272175,302.3688565378632
24100,20070.267600845167,70095.28938903939,90165.55698988456,300.2163535502439
24200,20202.244163345167,69939.72660530359,90141.97076864875,299.55008207767634
24300,20195.041038345167,70341.71429543104,90536.75533377621,301.27178519858563
24400,20398.845725845167,70018.7448185021,90417.59054434727,299.8885150884718
24500,20680.666038345167,69695.50347942254,90376.1695177677,298.50408059963524
24600,19895.337913345167,70296.70100868144,90192.03892202661,301.0789944286628
24700,19951.017600845167,70029.37127017137,89980.38887101653,299.93402791250224
24800,20155.845725845167,69369.21054985607,89525.05627570124,297.1065762258394
24900,19389.798850845167,70365.20241532521,89755.00126617038,301.37238422268325
25000,19766.619163345167,70298.29364612605,90064.91280947122,301.08581565460133
25100,20270.275413345167,69792.43189208268,90062.70730542784,298.9192225422376
25200,20169.134788345167,69838.09381630598,90007.22860465114,299.114791410073
25300,20086.111350845167,69717.41812399309,89803.52947483826,298.59794046867444
25400,19915.111350845167,69943.56567750406,89858.67702834922,299.56652472691974
25500,20047.017600845167,69913.7618007157,89960.77940156087,299.438875475607
25600,19873.619163345167,70191.77555058943,90065.3947139346,300.62960134251483
25700,19133.220725845167,70752.49513537087,89885.71586121604,303.03114915798926
25800,19866.228538345167,70381.05614252388,90247.28468086905,301.4402853357431
25900,20381.775413345167,69747.53203011956,90129.30744346473,298.72691756780966
26000,19796.236350845167,70123.57941736319,89919.81576820835,300.33751902682917
26100,20097.994163345167,69975.22309596208,90073.21725930725,299.7021126503754
26200,20764.236350845167,69667.31962954253,90431.5559803877,298.3833698826423
26300,20008.744163345167,69747.12584553636,89755.87000888152,298.72517788950177
26400,19654.314475845167,70511.68407556275,90165.99855140792,301.99976147273526
26500,20112.541038345167,70084.20069635054,90196.74173469571,300.1688609596048
26600,20696.244163345167,69932.54813684244,90628.7923001876,299.5193368786156
26700,20481.548850845167,70204.91524057835,90686.46409142352,300.68587830277335
26800,20241.431663345167,70362.02975945163,90603.4614227968,301.3587958177314
26900,20832.744163345167,70023.54192315694,90856.2860865021,299.9090609665133
27000,20597.291038345167,70219.91824996378,90817.20928830895,300.7501358129318
27100,20659.212913345167,70339.26389757276,90998.47681091793,301.26129020646596
27200,20691.783225845167,69946.91571762972,90638.69894347488,299.5808728641418
27300,20129.931663345167,70639.2743428452,90769.20600619036,302.54622736403707
27400,20138.314475845167,70515.71906861383,90654.033544459,302.01704324603213
27500,20705.400413345167,69626.87284782901,90332.27326117418,298.2101373384197
27600,19938.900413345167,70290.65429609269,90229.55470943786,301.0530965114107
27700,20465.908225845167,69939.6030065862,90405.51123243137,299.54955270749235
27800,19942.478538345167,70471.15721233469,90413.63575067985,301.8261859414092
27900,20466.947288345167,70020.7865664023,90487.73385474746,299.89725984314515
28000,20260.423850845167,70234.89926209039,90495.32311293556,300.8142991093864
28100,20252.009788345167,70500.45706321578,90752.46685156095,301.951676462495
28200,19765.666038345167,71159.06935994793,90924.7353982931,304.77249629007093
28300,21173.322288345167,69680.72436157544,90854.04664992061,298.44078201127905
28400,20424.595725845167,70695.8265129514,91120.42223879657,302.78843887985533
28500,20247.970725845167,70768.76344776317,91016.73417360833,303.1008259289592
28600,20173.001975845167,70878.73474324448,91051.73671908965,303.5718302091663
28700,20330.251975845167,70495.42888604943,90825.6808618946,301.9301409067245
28800,20870.244163345167,69782.29543743469,90652.53960077986,298.87580836306995
28900,20215.322288345167,70496.0968924649,90711.41918081007,301.9330019613253
29000,20590.884788345167,70041.3934257389,90632.27821408407,299.98551850106753
29100,20324.947288345167,70297.29743419425,90622.24472253941,301.0815489040659
29200,20373.634788345167,70059.78641951887,90433.42120786404,300.0642952287425
29300,20209.775413345167,70385.9825437786,90595.75795712377,301.4613849878553
29400,20600.791038345167,69869.73156591947,90470.52260426464,299.2502950923644
29500,20101.923850845167,70182.03805435338,90283.96190519855,300.58789589214615
29600,20227.728538345167,70052.72759417258,90280.45613251775,300.03406245812005
29700,20166.626975845167,69850.29413717799,90016.92111302316,299.16704507613616
29800,20108.791038345167,69755.93951271032,89864.73055105549,298.7629266033374
29900,20042.814475845167,69939.68320716126,89982.49768300643,299.5498962045291
30000,20035.962913345167,69772.58520951495,89808.54812286011,298.83421970221104
30100,20032.587913345167,70112.93544676248,90145.52336010765,300.29193116965797
30200,20575.376975845167,69646.97295794112,90222.34993378629,298.2962256022163
30300,19635.197288345167,70740.07853577822,90375.27582412338,302.9779691756296
30400,19927.697288345167,70734.19127277052,90661.88856111569,302.95275417690476
30500,20225.947288345167,70698.48445572215,90924.43174406732,302.79982278159156
30600,20714.986350845167,69872.08968075807,90587.07603160324,299.2603948386422
30700,19931.681663345167,70529.18174365326,90460.86340699843,302.074703543102
30800,20577.009788345167,69980.60054033296,90557.61032867813,299.7251441087589
30900,19585.009788345167,70790.20559576794,90375.21538411311,303.1926621071444
31000,20372.712913345167,70004.84221307002,90377.55512641519,299.82897058064475
31100,19858.962913345167,70602.4514695378,90461.41438288297,302.38851592796277
31200,20412.072288345167,70131.41161034897,90543.48389869413,300.371064111513
31300,20587.923850845167,70364.44146793557,90952.36531878074,301.36912510423815
31400,20775.791038345167,70052.61629251065,90828.40733085581,300.0335857559139
31500,20162.205100845167,70666.2208088492,90828.42590969437,302.66163839715074
31600,20612.994163345167,70278.15941219428,90891.15357553944,300.9995812393473
31700,20699.978538345167,70569.081102364,91269.05964070917,302.2455914884338
31800,20891.087913345167,70181.39248524758,91072.48039859274,300.58513093597577
31900,20237.275413345167,70661.45971770119,90898.73513104636,302.641246764049
32000,20801.556663345167,70028.7331618024,90830.28982514757,299.93129491047927
32100,20562.212913345167,70259.13393958099,90821.34685292616,300.91809562080834
32200,20266.744163345167,70429.72854936775,90696.47271271292,301.6487480245848
32300,20178.400413345167,70449.64825730037,90628.04867064554,301.7340636304043
32400,20640.150413345167,69969.61113443598,90609.76154778115,299.67807676094094
32500,20120.642600845167,70194.93078666867,90315.57338751384,300.64311513892767
32600,20609.384788345167,69646.58323140827,90255.96801975343,298.29455641332214
32700,19945.556663345167,70068.58080093405,90014.13746427922,300.1019613421605
32800,20262.400413345167,69609.85029201163,89872.2507053568,298.1372301619155
32900,20024.822288345167,69715.68026140262,89740.50254974779,298.59049724710525
33000,20460.634788345167,69479.33209914924,89939.9668874944,297.5782240393266
33100,20053.783225845167,69683.52560962428,89737.30883546945,298.4527796859009
33200,19692.134788345167,70083.42387372418,89775.55866206935,300.1655338479219
33300,19736.337913345167,70193.43946533697,89929.77737868213,300.63672784734104
33400,20019.119163345167,69981.8794905933,90000.99865393847,299.7306218204123
33500,19502.017600845167,70107.79830087582,89609.81590172098,300.2699289036114
33600,20512.455100845167,69299.87320389785,89812.32830474302,296.8096061248545
33700,19827.759788345167,69674.3348078127,89502.09459615787,298.41341571394037
33800,20099.150413345167,69501.33595555462,89600.48636889979,297.67246600040056
33900,20062.970725845167,69279.62687144184,89342.59759728701,296.7228915944532
34000,19761.478538345167,69839.0116762491,89600.49021459426,299.1187225810203
34100,20381.416038345167,69220.79029974714,89602.2063380923,296.47089604434507
34200,19841.150413345167,69785.28966106381,89626.44007440898,298.88863254722673
34300,19879.650413345167,69785.18072583782,89664.83113918299,298.888165980406
34400,19601.462913345167,69985.90024844697,89587.36316179213,299.7478426247182
34500,20503.259788345167,69271.19652423577,89774.45631258094,296.6867846303558
34600,19524.314475845167,70568.05552054034,90092.3699963855,302.24119894739357
34700,20340.470725845167,69623.20107257226,89963.67179841743,298.19441121775964
34800,19788.541038345167,70217.9435645095,90006.48460285467,300.74167828502004
34900,20425.509788345167,69856.01422291202,90281.52401125719,299.19154405882153
35000,20365.212913345167,69876.79337615136,90242.00628949652,299.2805406471764
35100,20080.892600845167,70325.81707071047,90406.70967155564,301.2036977867385
35200,20215.712913345167,70061.22002757108,90276.93294091625,300.07043533581106
35300,19893.306663345167,70290.836046468,90184.14270981317,301.0538749436763
35400,19970.697288345167,69856.72024488728,89827.41753323245,299.19456793310445
35500,19827.142600845167,69775.27065404109,89602.41325488625,298.8457213932708
35600,20095.580100845167,69354.05029723234,89449.63039807751,297.04164524686394
35700,19715.064475845167,69702.57107132301,89417.63554716817,298.53435091718774
35800,20064.259788345167,69448.2636067511,89512.52339509627,297.4451584713068
35900,20130.119163345167,69393.03928428469,89523.15844762986,297.20863409338267
36000,20201.626975845167,69295.55250644009,89497.17948228525,296.79110068680194
36100,19433.361350845167,70291.90298474347,89725.26433558864,301.0584446133548
36200,20022.525413345167,69262.91075355979,89285.43616690495,296.6512968838841
36300,19256.337913345167,69690.40500478353,88946.7429181287,298.48224396156536
36400,19613.298850845167,69597.71162111685,89211.01047196201,298.0852405411473
36500,19802.337913345167,69442.9555938968,89245.29350724196,297.4224243863546
36600,19956.744163345167,69280.72615685826,89237.47032020343,296.7275998061192
36700,19720.072288345167,69659.47723137424,89379.54951971941,298.3497810894196
36800,19434.775413345167,69385.77436308749,88820.54977643266,297.17751861943765
36900,19514.291038345167,69519.61303037324,89033.9040687184,297.75074625009256
37000,19255.244163345167,69961.78237362183,89217.026536967,299.6445463761615
37100,19496.908225845167,69728.61550303048,89225.52372887565,298.64589856019853
37200,19525.978538345167,69714.6213373174,89240.59987566256,298.5859619020011
37300,20007.861350845167,69356.07893182198,89363.94028266714,297.0503338375595
37400,19900.783225845167,69382.73963662935,89283.52286247452,297.1645209626875
37500,19741.697288345167,69707.7281138883,89449.42540223346,298.5564384002062
37600,19660.681663345167,69925.62516965531,89586.30683300048,299.48968598505655
37700,19844.916038345167,69566.76287742169,89411.67891576685,297.9526878537969
37800,20329.447288345167,69057.8598922764,89387.30718062157,295.7730692254581
37900,20146.072288345167,69455.49461681204,89601.5669051572,297.47612870471187
38000,19718.173850845167,69927.8970216969,89646.07087254207,299.4994162699541
38100,20279.541038345167,69112.88509485766,89392.42613320283,296.0087407779446
38200,19272.470725845167,70155.24962081807,89427.72034666323,300.47316170810336
38300,19857.447288345167,69729.05277120741,89586.50005955258,298.6477713687531
38400,19699.666038345167,70085.76044782205,89785.42648616721,300.1755413357513
38500,19604.580100845167,69887.42990839202,89492.01000923719,299.3260966460395
38600,19235.697288345167,70403.74998706213,89639.44727540729,301.537482498558
38700,20112.884788345167,69626.8459356653,89739.73072401047,298.21002207430246
38800,20046.353538345167,69511.0688241995,89557.42236254466,297.7141516309132
38900,19700.580100845167,70003.19780025445,89703.77790109962,299.8219276021004
39000,19711.439475845167,70105.49457157543,89816.9340474206,300.26006208921973
39100,20128.111350845167,69720.01335480972,89848.12470565489,298.60905577669564
39200,19468.119163345167,69922.79086146597,89390.91002481114,299.4775467146882
39300,19467.064475845167,69974.21370260097,89441.27817844614,299.6977894441113
39400,19777.798850845167,69530.13583504781,89307.93468589298,297.7958151566633
39500,19542.783225845167,69784.48959466105,89327.27282050622,298.88520588303675
